CPU_Usage (%),Memory_Usage (MB),Network_Usage (MBps),Disk_IO (MBps),Energy_Consumption (Watts),Service_Latency (ms),Predicted_Workload (%),Workload_Type,Task_Priority,Optimized_Resource_Allocation
38.708610696262625,1672.0065647670567,299.8491107041328,80.73034535283331,63.96279908811452,221.44890910246272,53.34781185622287,Medium,1,2
90.56428757689245,4855.632861473377,369.69137716132286,141.50215580767548,439.0954734812061,109.94047647315702,26.121035664419345,Low,0,1
70.87945476302646,16066.646711859878,262.32420224207794,113.59591820304867,228.34879418125539,47.07221175785701,54.19292837205473,Medium,1,3
58.8792635777333,9975.816106093447,408.85214754092124,185.14562651272448,168.73919421796398,246.531890277075,11.554385910476512,Low,0,1
19.041677639819287,11776.947009961794,363.8562338651476,6.062739325355431,302.752831477525,48.27545721132834,37.98517321102239,Medium,1,3
19.03950683025824,628.7834718145796,311.3859366090702,141.93099165653476,239.40433511407372,144.066856201906,54.66944137694671,Medium,1,3
10.227525095137953,8736.96138120097,83.88847975785222,66.7352101839443,343.24969805940066,144.47518713355288,26.69746211813694,Low,0,2
82.95585311974416,1107.654852344779,419.6150643466685,36.86649671187377,267.7069548745311,96.33929553855607,67.71787236722925,Medium,1,3
59.10035105688879,9546.821926315462,468.59373680670984,102.5687288814997,363.75491319812176,238.11470517453708,9.922132561149144,Low,0,2
68.7265320016441,15126.474925423789,77.11291066655446,101.5076930518192,434.04047127911434,211.74926779087426,51.05694029770955,Medium,1,2
6.85260448662222,15882.748439302473,249.23815342238098,28.265194708997253,138.00065493010507,208.3057924053693,72.92459922249142,High,2,3
92.29188669457949,9091.652063773005,136.85548356554722,41.177315170445084,198.24479625446907,243.66722418022206,45.844875600893424,Medium,1,3
79.91983767203796,7784.626668963172,379.71642063852664,82.22476831540942,246.56701395678752,116.99178785809762,88.08570945529911,High,2,5
24.110519961044854,15511.311319912096,363.598521642303,82.35347106607075,482.92630161243716,28.810515026907172,65.05831421786323,Medium,1,2
21.364247048639054,11203.535253451544,79.03370907949537,64.19406978431726,214.40012609636838,192.53670173519947,96.05682702558009,High,2,4
21.506405886809045,1542.081364833635,439.7433629182022,30.560485150486205,221.4949323166833,98.29908196572379,31.99157221362298,Low,0,1
32.381801866358394,7903.996368738522,98.67680134922112,1.8703621410949247,344.06263533180254,51.63456219186198,94.18498643120098,High,2,3
52.228078846901404,4325.168933065432,400.6569225675727,194.0767774231761,238.63986945047716,123.39559908896209,62.64814603914119,Medium,1,2
43.87505167779042,7968.734190033474,233.92037621772238,188.75634671108148,478.05068553782235,231.80114034095502,75.79199542527287,High,2,3
31.210622617823773,7741.149558884973,170.8534238434941,97.2464254560509,452.51094221394976,46.98246965858396,90.70530611912746,High,2,3
60.06676052501415,9751.802310275585,87.53723871036462,199.01529890172614,281.0339499990528,212.93120973128677,57.36373285922299,Medium,1,2
17.554447458683764,6174.661222823315,92.13098551184841,135.0572118256664,340.14885527653246,107.46021069570375,86.9071752352182,High,2,5
31.293018368169633,3119.3005737644903,334.32637180344113,14.702649983900766,76.11375284762924,38.51648527226978,56.46120926086525,Medium,1,2
37.97256589643225,8507.034865811785,279.71089009408905,24.425921617442846,363.07873761457915,212.85366447722083,61.92389812363758,Medium,1,3
46.046298579533236,13688.980180335935,69.82185660910403,183.3060579300579,368.2403928270645,242.5569835919,47.284364425251624,Medium,1,3
75.66583652537122,11051.202083888984,65.22195161477934,126.38038822777605,211.63968303944364,76.36132537957785,18.835662424809776,Low,0,1
22.970640394252378,5882.574767965026,45.432181638667814,168.79354170481287,148.85729763137272,79.36637141130687,57.58280716814233,Medium,1,3
51.28109945722505,15360.621417228582,374.4460002130366,179.755660277135,461.7852808176575,100.68376584478362,97.85758187528721,High,2,5
58.31731119758382,14990.558570867019,358.8222217623517,90.14046024519483,242.01720536230746,204.46193929289774,79.78266959456701,High,2,3
9.180537144799796,3834.777795024416,38.63118551874182,10.656664363761914,344.1677471607698,7.552213201177453,76.01235605157646,High,2,3
59.67903667112945,1137.635911030401,284.53233704251676,38.46778943056709,64.99795773931518,59.86935517569592,66.1143362593148,Medium,1,2
20.347171131856236,12278.051818943299,51.49131606891805,14.247817513184584,236.33022495957633,177.94545372104992,38.05132398128823,Medium,1,2
10.854643368675156,13647.83006813376,452.83542759838144,38.55922929400296,417.766464956246,104.38166536895389,21.113443475445955,Low,0,2
90.39969835279999,15873.94639077991,454.4875353982649,82.69605236471948,224.40920018032176,85.92242762719124,26.332402156055533,Low,0,1
91.90688297671034,14635.483246969668,352.13416500843374,24.5211652924821,321.4225220615946,218.70930778099427,5.600598506551762,Low,0,1
77.7557613304815,10043.687840972216,463.83257150533046,34.17991631326331,144.43511021804275,229.74681043582865,68.98063998534369,Medium,1,3
32.41523922560336,8924.990727978908,407.61198490270834,89.71853463226417,237.4365419778018,237.25662369571788,82.1283680628612,High,2,4
13.790490260574549,953.8931656397697,415.9839022042542,68.69401912730942,467.43697312393397,71.77488050030267,30.546578363815676,Low,0,1
66.58097238609412,4426.931124320314,289.15684677926725,94.06396671342016,304.9032873654667,228.5655893370812,13.725787966205829,Low,0,2
44.61372443656412,7807.005339505008,159.9690071259262,86.40523352405334,455.86915659181915,185.55656090818576,36.8940714430822,Medium,1,2
15.983441136030095,10487.613902126388,116.72156640704658,129.2511271699968,455.9086847702945,42.782613379702255,32.7448667946129,Low,0,2
49.56592191001432,9356.701098429814,170.3280107990753,187.50072022629504,474.8665101910158,154.51615693551153,47.83325427388453,Medium,1,2
8.094966900369656,12299.118428227792,317.9627607436404,22.465003350404253,452.92624703604736,11.452030730212849,30.089695160496042,Low,0,1
86.83883618709038,4952.4607270391125,94.60170255787547,20.752769712529787,51.47650805463529,178.55264816386196,37.27460700777776,Medium,1,2
28.290198344001524,9478.927788660056,136.73371595228758,170.7084161070895,470.3067012117186,184.72404304947992,91.21770403817806,High,2,5
64.62700559185838,1910.9936870986526,239.34982276977757,101.77294422583937,111.85674758841938,198.38793460577435,36.80935852451259,Medium,1,3
33.053996848046985,7077.699190312661,124.19454827706163,153.51459969012,67.96681300001775,47.26863825999655,79.62421443934022,High,2,3
51.80612190600297,12418.552740655427,298.4353981608702,43.868958817849006,74.92484056012377,158.9212355321451,64.45420152132364,Medium,1,3
54.203925140895166,11517.658345625787,462.35625394360164,165.9436520603428,207.01228782939512,48.819887782775325,37.066104834980514,Medium,1,3
21.636900997297435,16235.481524396824,376.563789194532,184.84547821434649,329.3618383709571,236.92927043034805,82.6898856291333,High,2,3
92.26261649881027,4922.6879516776635,336.5490409329674,127.46112009375116,231.04003843354886,170.37761970680444,61.532226611645164,Medium,1,3
74.76195410250031,8419.260556489397,295.5335232320516,22.069925273286646,61.49942809222077,28.35483276099366,5.818779121895535,Low,0,1
89.55490474077702,5742.306727420876,249.0944755359618,179.16366801711143,264.41718537862164,50.822896351426586,11.52917914937798,Low,0,1
85.5344615384884,7505.252626347222,101.41629122098325,158.7050577466442,248.95883402167104,167.54772404178823,76.50075814797029,High,2,3
58.810998092997664,14113.512461286928,448.4081231591641,150.42467752638348,390.5821694757411,121.78427155910413,47.420140010593464,Medium,1,3
87.96868115208052,11371.76644139166,131.78264098628978,8.308909592277196,175.82580429144724,185.39292822166522,43.523240215636356,Medium,1,3
12.964325184672756,14518.106589068817,54.74135001329877,159.99354252613728,147.88902820746523,73.79325573678648,18.85358249860176,Low,0,2
22.638457617723066,3742.128311443702,377.50743782206064,28.452251083203045,165.1725309544818,166.18979652753384,19.94526642632067,Low,0,2
9.070456001948425,14373.987662379304,96.05161182227152,45.254849063180785,186.6829201834316,48.35524116745756,80.78648275911056,High,2,3
34.27972976869379,1460.5468157593175,192.22903977517626,115.84983213898225,319.62419301522493,138.2090145234531,83.75662772633825,High,2,5
39.98095607205338,14615.847779098483,23.859614862580067,53.73117381045972,262.18646845343596,239.66089992974662,58.20024136067928,Medium,1,3
29.421412859650633,5735.059027600673,77.16329184481955,132.60829305607203,201.60255433057606,158.91444691129166,33.037141931540305,Low,0,2
79.58637582367363,5505.134917548063,94.86977907235692,122.00601909211724,218.44137122765528,17.24843628870454,93.60657758344387,High,2,5
37.10779940242303,8639.869889361195,36.6609625975872,22.52177000463926,216.91564707153927,247.24672374547356,64.27642714454653,Medium,1,2
30.28410587186427,15442.634659543135,331.76190874519415,131.54690133870977,487.58301261964283,43.43225076397207,80.68100134791987,High,2,3
53.84264748424236,1270.385820223266,420.13381994352744,184.86702705516106,154.84864462382865,180.92693016079076,5.311877427380464,Low,0,2
17.683180247728636,6102.61003632287,192.92454911931108,33.06087113198079,418.1277021225164,135.469859570728,47.78036208315925,Medium,1,2
77.19772826786357,14107.510604381905,438.54247359191834,119.8153421676346,368.6948769146842,77.11836851205443,87.7401632003958,High,2,5
11.709557931179374,6798.176665855728,114.53982153446199,69.03120901540213,52.50650252159777,48.441068929788734,37.132161907108525,Medium,1,3
93.81982429404655,3673.0182786606474,169.44130754500733,92.46272268294719,496.9292981564696,48.53707924779535,74.0223618028667,High,2,5
74.50202923669917,7254.333246092167,83.86112658527252,58.11303563671501,390.3977167851081,215.3079218959993,67.47910838722132,Medium,1,3
22.884411338075516,6631.489303675775,314.0740057553093,71.47199663319135,357.1023138578561,218.86356597003874,19.460744803658443,Low,0,2
5.496990541124216,15041.485949679516,215.73609952645035,6.753452830044899,232.39611845448678,118.96065279805444,78.61586358916848,High,2,3
78.39152856093507,12605.422411794438,310.50883995253037,196.3287958455269,299.84139001143035,30.3872584166186,15.690045079715894,Low,0,1
68.61716094628554,8529.19410076887,383.22070364314993,125.3351844924769,163.9719030503616,221.62045044246352,74.15183917433437,High,2,4
70.61064512368885,16199.417635004776,277.39447785614476,100.64041250828318,65.96753231556386,124.31903911289683,99.14199199401396,High,2,4
74.41433120173512,7896.884976411455,317.53887390187606,77.35935455056502,426.2097463006878,112.49679360239385,96.00823602211746,High,2,5
11.664018656068134,1436.3508507794083,468.2726540532231,108.3355372059815,453.41802215652723,104.80247098721695,81.02296559041544,High,2,5
37.261915568984534,4674.81803584744,156.54151170833313,76.64109374444499,123.11178647640794,94.42847259550538,55.7791553018217,Medium,1,3
15.428215357261674,7433.31066204093,185.99032993063705,72.62167757124098,404.1752431305799,133.87132388410558,69.1083347029703,Medium,1,3
82.67930832880342,3002.3584504472183,361.6746472375751,93.3253618026806,383.5187029785464,153.11260051986753,74.1702970826888,High,2,3
61.096831414480214,15551.75368501521,309.5397033571395,55.92062370056697,130.2687508712407,119.27588987537419,5.798144806432677,Low,0,1
34.78082223673843,12683.425706163694,97.48112322446026,36.8299300933903,239.82296115865722,224.6788000464859,14.724790990530861,Low,0,1
10.720251525742128,4770.254445189607,194.3121819051402,111.76457373787841,240.2410643753465,82.82700098972684,61.720617547491926,Medium,1,3
32.9884089544096,9889.24955599636,239.24062643111034,168.7103217939099,391.9839162373618,146.68640491276142,5.620781313576365,Low,0,2
34.266498982407235,11962.841021643128,215.50102060451079,31.41280736745257,426.94740759922496,78.48871044752639,91.34603682348224,High,2,4
70.66455605042577,15451.979159608698,97.35465607779999,7.514133780239511,92.64880462611696,189.57075582917088,51.517957756382394,Medium,1,3
62.38017242196918,14505.316262112117,462.9707449742885,50.11553728565319,303.3361557068913,30.019669335417735,29.48787218248656,Low,0,1
84.84914683186939,8689.131013265727,383.5361932300482,195.96440804730835,392.7868236179984,51.23125421485647,42.41301111177193,Medium,1,3
47.49934326457544,12807.286381354776,245.86435773284762,165.92285667492453,403.7857673293213,201.29434543210294,85.82375901080027,High,2,4
15.763482134447154,9434.361532751429,343.2299038703499,119.57734465219072,116.59708599368402,49.883410828786985,93.08332300759099,High,2,3
